subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstManoevres,ttc
37,2,1,1,8,EVENT_MAT_RIGHT_VRU,1.4833,5.4833,3.425649431
37,3,1,0,18,EVENT_MAT_RIGHT_VRU,1.15,5.15,2.502045943
37,4,0,0,20,EVENT_MAT_RIGHT_VRU,1.6667,5.6667,1.993404974
38,1,0,1,6,EVENT_MAT_RIGHT_VRU,1.1,5.1,1.748734403
38,2,1,1,11,EVENT_MAT_RIGHT_VRU,0.7167,4.7167,3.566677131
38,3,0,0,17,EVENT_MAT_RIGHT_VRU,1.1334,5.1334,2.52058715
38,4,1,0,19,EVENT_MAT_RIGHT_VRU,0.45,4.45,3.211119555
39,1,0,1,1,EVENT_MAT_RIGHT_VRU,1.1334,5.1334,2.904255744
39,2,1,0,12,EVENT_MAT_RIGHT_VRU,1.4833,5.4833,2.191421524
39,3,1,1,14,EVENT_MAT_RIGHT_VRU,1.5334,5.5334,3.502915501
39,4,0,0,22,EVENT_MAT_RIGHT_VRU,1.4333,5.4333,2.218669336
40,1,0,1,4,EVENT_MAT_RIGHT_VRU,-2.85,1.15,6.180901061
40,2,1,0,10,EVENT_MAT_RIGHT_VRU,0.05,4.05,3.614846728
40,3,0,0,15,EVENT_MAT_RIGHT_VRU,0.3334,4.3334,3.32049682
40,4,1,1,21,EVENT_MAT_RIGHT_VRU,0.7167,4.7167,4.108766276
41,1,0,1,6,EVENT_MAT_RIGHT_VRU,0.7,4.7,2.619818965
41,2,0,0,12,EVENT_MAT_RIGHT_VRU,0.1666,4.1666,3.527158979
41,3,1,0,13,EVENT_MAT_RIGHT_VRU,0,4,3.671428142
41,4,1,1,20,EVENT_MAT_RIGHT_VRU,0.25,4.25,4.013013709
43,1,0,0,6,EVENT_MAT_RIGHT_VRU,0.8166,4.8166,2.817404181
43,2,1,1,11,EVENT_MAT_RIGHT_VRU,1.05,5.05,3.178786944
43,3,1,0,18,EVENT_MAT_RIGHT_VRU,0.7167,4.7167,2.949915698
43,4,0,1,21,EVENT_MAT_RIGHT_VRU,1.4333,5.4333,2.141394749
44,1,0,0,2,EVENT_MAT_RIGHT_VRU,0.7666,4.7666,2.877338392
44,2,1,1,11,EVENT_MAT_RIGHT_VRU,0.6666,4.6666,3.121127641
44,3,0,1,14,EVENT_MAT_RIGHT_VRU,-3.2333,0.7667,7.73200883
44,4,1,0,19,EVENT_MAT_RIGHT_VRU,0.3333,4.3333,3.320418825
45,1,0,0,6,EVENT_MAT_RIGHT_VRU,0.8,4.8,2.852468764
45,2,1,0,9,EVENT_MAT_RIGHT_VRU,0.5167,4.5167,3.154456981
45,3,1,1,17,EVENT_MAT_RIGHT_VRU,0.1833,4.1833,3.768728673
45,4,0,1,22,EVENT_MAT_RIGHT_VRU,-0.95,3.05,5.120595965
46,1,0,0,4,EVENT_MAT_RIGHT_VRU,1.0333,5.0333,2.643210638
46,2,1,0,8,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.793030321
46,3,0,1,16,EVENT_MAT_RIGHT_VRU,-0.3,3.7,2.847424275
46,4,1,1,23,EVENT_MAT_RIGHT_VRU,0.6333,4.6333,2.037129074
47,1,0,0,1,EVENT_MAT_RIGHT_VRU,1.4333,5.4333,2.23353839
47,2,0,1,9,EVENT_MAT_RIGHT_VRU,-1.6333,2.3667,5.857285825
47,3,1,1,17,EVENT_MAT_RIGHT_VRU,0.5,4.5,3.986863246
47,4,1,0,21,EVENT_MAT_RIGHT_VRU,1.05,5.05,2.619325366
48,1,0,0,3,EVENT_MAT_RIGHT_VRU,0.9,4.9,2.766963761
48,2,0,1,9,EVENT_MAT_RIGHT_VRU,0.5667,4.5667,2.110564801
48,3,1,0,18,EVENT_MAT_RIGHT_VRU,0.7333,4.7333,2.916706818
48,4,1,1,22,EVENT_MAT_RIGHT_VRU,-1.35,2.65,4.949061816
49,1,1,0,3,EVENT_MAT_RIGHT_VRU,1.45,5.45,2.275430682
49,2,1,1,7,EVENT_MAT_RIGHT_VRU,0.7333,4.7333,3.277775967
49,3,0,1,18,EVENT_MAT_RIGHT_VRU,-0.25,3.75,5.169865734
49,4,0,0,20,EVENT_MAT_RIGHT_VRU,0.5333,4.5333,3.182366095
